Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
08/21/2015,"Strick Trailers, LLC",Trailer Suspension Pivot Bolt Failure,SUSPENSION,Vehicle,4.0,No,No
08/06/2015,Turtle Top,Window Emergency Catches/FMVSS 217,LATCHES/LOCKS/LINKAGES,Vehicle,2.0,No,No
06/29/2015,"Carson Trailer, Inc.",Interior Side Door Lock May Become Inoperable,LATCHES/LOCKS/LINKAGES,Vehicle,426.0,No,No
06/09/2015,"Gulf Stream Coach, Inc.",Quad Entry Step Rivet Failure,EQUIPMENT,Vehicle,21.0,No,No
06/05/2015,Nova Bus (US) Inc.,Delay in Parking Brake Application,PARKING BRAKE,Vehicle,250.0,No,No
05/20/2015,Starcraft Bus,Terminal Strip Possibly Reconnected Improperly,ELECTRICAL SYSTEM,Vehicle,76.0,No,No
04/28/2015,Shyft Group,Driveshaft may Disconnect,POWER TRAIN,Vehicle,97.0,No,No
02/23/2015,"Daimler Trucks North America, LLC",Corrosion of Fuel Hoses may Result in CNG Leak,"FUEL SYSTEM, OTHER",Vehicle,14.0,No,No
01/30/2015,"All Wheel Drive Equipment Mfg., Inc.",PTO Pressure Switch Oil Leak may Result in Fire,ENGINE AND ENGINE COOLING,Vehicle,1.0,No,No
12/03/2014,Nova Bus (US) Inc.,Seats may not be Properly Attached to Wall,SEATS,Vehicle,7.0,No,No
11/12/2014,Innovative Trailer Design Industries,Suspension Pivot Bolt Failure,SUSPENSION,Vehicle,1.0,No,No
08/13/2014,PJ's Truck Bodies & Equipment Co.,PTO Pressure Switch Oil Leak may Result in Fire,EQUIPMENT,Vehicle,3.0,No,No
07/08/2014,"J C Madigan, Inc.",PTO Pressure Switch Oil Leak may Result in Fire,ENGINE AND ENGINE COOLING,Vehicle,2.0,No,No
06/10/2014,"Utility Truck Equipment Company, LLC",PTO Pressure Switch Oil Leak may Result in Fire,ENGINE AND ENGINE COOLING,Vehicle,16.0,No,No
02/04/2014,Kaffenbarger Truck Equipment Company,Battery Equalizers/DC-DC Converters-Possible Fire,ELECTRICAL SYSTEM,Vehicle,133.0,No,No
10/18/2013,Turtle Top,Electric Door Actuator May cause Fire,ELECTRICAL SYSTEM,Vehicle,2.0,No,No
07/31/2023,"Kia America, Inc.",Electric Oil Pump Assembly May Cause Fire,POWER TRAIN,Vehicle,39765.0,Yes,No
03/09/2018,Supreme Corporation,Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,33321.0,No,No
08/14/2023,"Trail King Industries, Inc.",Trailer Shims May Detach,SUSPENSION,Vehicle,5641.0,No,No
01/25/2016,Ford Motor Company,Driver Side Air Bag Inflator May Rupture,AIR BAGS,Vehicle,361692.0,No,No
08/16/2018,Supreme Corporation,Reduced Clearance Light Visibility/FMVSS 108,EXTERIOR LIGHTING,Vehicle,440.0,No,No
04/13/2016,"Strick Trailers, LLC",Rear Impact Guards/FMVSS 223,STRUCTURE,Vehicle,460.0,No,No
11/12/2021,"Forest River, Inc.",Trailer and Tow Vehicle May Separate,EQUIPMENT,Vehicle,325.0,No,No
04/01/2019,Eldorado National-Kansas,Back Up Camera Display Image may be Reversed,BACK OVER PREVENTION,Vehicle,296.0,No,No
05/26/2022,"McNeilus Truck & Manufacturing, Inc.",Missing Safety Labels,EQUIPMENT,Vehicle,792.0,No,No
04/27/2022,"Corp. Micro Bird, Inc.",Insufficiently Attached Seats/FMVSS 207 & 210,SEATS,Vehicle,457.0,No,No
03/19/2019,Collins Bus Corporation,Barrier may not Properly Restrain Occupant,SEATS,Vehicle,3787.0,No,No
08/26/2021,Escape Trailer,Window Adhesive Failure,EQUIPMENT,Vehicle,200.0,No,No
09/19/2018,"Daimler Trucks North America, LLC",Tire Steel Cords may be Exposed,TIRES,Vehicle,201.0,No,No
02/24/2023,Prevost Car (US) Inc.,Fire Sensor May Falsely Detect Fires,EQUIPMENT,Vehicle,555.0,No,No
09/01/2023,"Forest River, Inc.",Aluminum Siding May Detach,STRUCTURE,Vehicle,2994.0,No,No
06/02/2023,"Navistar, Inc.",Brake Pressure Switch May Short and Cause Fire,"SERVICE BRAKES, HYDRAULIC",Vehicle,15398.0,Yes,No
03/20/2019,"Osage Industries, Inc.",Brake Light may Randomly Illuminate/FMVSS 108,EXTERIOR LIGHTING,Vehicle,173.0,No,No
11/21/2017,Supreme Corporation,Missing Rear and/or Side Reflectors/FMVSS 108,EXTERIOR LIGHTING,Vehicle,172.0,No,No
10/19/2015,Mazda North American Operations,Ignition Switch may Overheat,ELECTRICAL SYSTEM,Vehicle,1368500.0,No,No
03/02/2023,Off Grid Trailers,Cooktop Gas Valves May Fracture Causing Gas Leak,EQUIPMENT,Vehicle,150.0,No,No
05/03/2019,Supreme Corporation,Rear Clearance Lamp Visibility Blocked/FMVSS108,EXTERIOR LIGHTING,Vehicle,278.0,No,No
03/24/2023,"Shadow Trailer, LLC",Cooktop Gas Valves May Fracture Causing Gas Leak,EQUIPMENT,Vehicle,270.0,No,No
07/12/2023,Toyota Motor Engineering & Manufacturing,Driver's Air Bag May Not Deploy/FMVSS 208,STEERING,Vehicle,152927.0,No,No
03/09/2021,Nova Bus (US) Inc.,Brake Lights and Tail Lights Too High/FMVSS 108,EXTERIOR LIGHTING,Vehicle,123.0,No,No
11/21/2017,Highland Ridge RV,Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,1719.0,No,No
12/15/2017,"Daimler Trucks North America, LLC",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,24860.0,No,No
